UPC,L1,L2,L3,Brand,Manufacturer
9.08E+11,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CTL BR,CTL BR
9.08E+11,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CTL BR,CTL BR
9.08E+11,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CTL BR,CTL BR
9.08E+11,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CTL BR,CTL BR
9.08E+11,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CTL BR,CTL BR
2550006764,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2800030050,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC
4300004646,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300079450,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,MAXWELL HOUSE,"KRAFT FOODS, INC."
7232300086,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAFE LA LLAVE,F. GAVINA & SONS INC
7232301545,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAFE LA LLAVE,F. GAVINA & SONS INC
7447101100,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned
7447101102,GROCERY TOTAL (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Default: No Manufacturer,Default: No Brand
7447101112,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,BUSTELO,"J. M. SMUCKER COMPANY, THE"
7447101705,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,BUSTELO,"J. M. SMUCKER COMPANY, THE"
7447101745,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,BUSTELO,"J. M. SMUCKER COMPANY, THE"
7447101802,GROCERY (Corp 6),COFFEE,WHOLE BEAN,Unassigned,Unassigned
7447110103,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,PILON,"J. M. SMUCKER COMPANY, THE"
7447110105,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,PILON,"J. M. SMUCKER COMPANY, THE"
7447110111,GROCERY TOTAL (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,PILON,"J. M. SMUCKER COMPANY, THE"
7447110113,GROCERY TOTAL (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAFE PILON,"J. M. SMUCKER COMPANY, THE"
7447110121,GROCERY TOTAL (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Default: No Manufacturer,Default: No Brand
7447120101,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAFE PILON,"J. M. SMUCKER COMPANY, THE"
4300004091,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
60788003289,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,SOUTHERN HOME,LONE STAR FUNDS
81693200862,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,MARLEY COFFEE,JAMMIN JAVA CORP
2114001868,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,WINN & LOVETT,LONE STAR FUNDS
2114001871,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,WINN & LOVETT,LONE STAR FUNDS
2800070821,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC
8903642280,GROCERY (Corp 6),COFFEE,COFFEE MISC,TORANI,R TORRE & CO
8903644200,GROCERY (Corp 6),COFFEE,COFFEE MISC,TORANI,R TORRE & CO
8903644280,GROCERY TOTAL (Corp 6),COFFEE,COFFEE MISC,TORANI,R TORRE & CO
2800030100,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC
2114001865,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,WINN & LOVETT,LONE STAR FUNDS
2114001872,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,WINN & LOVETT,LONE STAR FUNDS
3570016275,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,Unassigned,Unassigned
3570016279,GROCERY TOTAL (Corp 6),COFFEE,COFFEE-LIQUID-SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.
4790011121,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,C D M,"WM. B. REILY & COMPANY, INC"
4790011124,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,C D M,"WM. B. REILY & COMPANY, INC"
4790011126,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,C D M,"WM. B. REILY & COMPANY, INC"
4790011921,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,R T,"WM. B. REILY & COMPANY, INC"
4790013123,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,LUZIANNE,"WM. B. REILY & COMPANY, INC"
7056810030,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FRENCH MARKET,"WM. B. REILY & COMPANY, INC"
4790013125,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,LUZIANNE,"WM. B. REILY & COMPANY, INC"
4300000458,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,MAXWELL HOUSE,"KRAFT FOODS, INC."
7024212041,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,Unassigned,Unassigned
7024212042,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,Unassigned,Unassigned
7024210251,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,RED DIAMOND,RED DIAMOND INC.
7103800144,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CHOCK FULL O NUTS,SEGAFREDO ZANETTI GROUP
78260516151,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,Unassigned,Unassigned
7447101710,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,BUSTELO,"J. M. SMUCKER COMPANY, THE"
85994000239,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,MARLEY COFFEE,JAMMIN JAVA CORP
1066807503,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,CAMERON S,CAMERON S COFFEE COMPANY
1066807519,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAMERON S,CAMERON S COFFEE COMPANY
1066807521,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,CAMERON S,CAMERON S COFFEE COMPANY
1066807524,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAMERON S,CAMERON S COFFEE COMPANY
1066809211,GROCERY (Corp 6),COFFEE,WHOLE BEAN,CAMERON S,CAMERON S COFFEE COMPANY
1066830100,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CAMERON S,CAMERON S COFFEE COMPANY
1066830104,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CAMERON S,CAMERON S COFFEE COMPANY
1066830105,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CAMERON S,CAMERON S COFFEE COMPANY
1066830109,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CAMERON S,CAMERON S COFFEE COMPANY
1066830113,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CAMERON S,CAMERON S COFFEE COMPANY
1066831001,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,CAMERON S,CAMERON S COFFEE COMPANY
111410196,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110005,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,EIGHT O CLOCK,TATA GROUP
1114110008,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110010,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110024,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110025,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,EIGHT O'CLOCK,TATA GROUP
1114110036,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,EIGHT O CLOCK,TATA GROUP
1114110037,GROCERY (Corp 6),COFFEE,WHOLE BEAN,Unassigned,Unassigned
1114110110,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,EIGHT O CLOCK,TATA GROUP
1114110136,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110160,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,EIGHT O'CLOCK,TATA GROUP
